"No","受付日時","顧客会社名","ProjectName","発生箇所","受付概要","受付詳細","対応詳細","原因","関連インシデントNo","インシデント分類","関連課題NO","課題","非公開"
"11867","2021/12/17","ファミリーマート","原材料品質保証システム","調達品質情報(申請/フロー)","【調査依頼】【品証】「事前：照会」画面の仕様について",""■質問事項・何故、事前：照会」●製造者 追加４、６だけがFM中食生産実績上段に「有」下段に「無」となっているのか。・メーカー様が入力する際も入れ替わっているのか・項目名に合わせて入力規則（実績有は選択ボックスあり）も上下入れ替わっているのか・項目名だけが異なっているのか・2018年システム改修時からの仕様なのか"",###############################################################################################################################################################################################################################################################,"仕様","","","",""12/20 調査 浦野 1H 時間内 範囲内12/23 調査・顧客対応 1H 時間内 範囲内"","FALSE"
"11868","2021/12/16","ファミリーマート","その他","その他","※12/23回答期限日　【資産棚卸】ご協力のお願い",###############################################################################################################################################################################################################################################################,"依頼内容に基づき、３サーバの情報を回答実施。FM青鹿様へご報告した。","","","","","12/23　調査　中村　3.0H　時間外　範囲内","FALSE"
"11870","2021/12/20","JFS","商品規格書システム","その他","【規格書】エクセルDLするとファイルの中身が見れない","該当商品の規格書をDLした時に、Excelファイルを開こうとすると、ファイルの中身が見れない。","インシデントNo.11751と同事象。Excelの仕様でダブルコーテーションがファイル名に付与されていると開けない事が原因。上記をJFS明石様へお伝えした。ファイル名からダブルコーテーションを取り除き、ファイルを開けることが出来たとの事。","","","","","12/20　顧客対応　中嶌　0.2H　時間内　範囲内","FALSE"
"11871","2021/12/20","障害対応","原材料受発注システム","その他","【障害報告】【原受発注】RDS　CPU高負荷",""【事象】本日12/20 14:08-14:45、 RDS（データベース）のCPU使用率が危険域（95％）を超過した。"",###############################################################################################################################################################################################################################################################,"その他","","","","","FALSE"
"11872","2021/12/20","明治","原材料品質保証システム","調達品質情報(申請/フロー)","帳票出力ができない","帳票出力するときに、「Excelのテンプレートオープンに失敗しました」のエラーが発生する。今回帳票出力を行うのは初めて。","品証の操作マニュアルに「初回設定」を参考に、ActiveコントロールXをダウンロードして頂くようお願いした。","","","","","12/20　顧客対応　中嶌　0.5H　時間内　範囲内","FALSE"
"11873","2021/12/20","ニッスイ","原材料品質保証システム","MerQurius Net連携","依頼連携取込時にエラー","依頼連携取込時に「原材料名が13桁を越えている」のエラーが発生した。品証側の原材料名を確認すると１２文字となっており問題ないように見えるが、原因を教えてほしい。",""メルクリウスネット側の原料品質規格書を確認したところ、基本1[共]シートの「商品名」が全角12文字以上となっていた事が原因で、エラーが発生した。Netへ差し戻していただき、修正頂き、再度依頼連携取り込みを実施頂くようお願いした。12/27　追記FM青鹿様より、ユーザ誤認を与えるメッセージは修正が必要とのご指摘頂く。本件以外に、エラーメッセージの方針として、Netの名称を使うのか品証の名称を使うのか、そのルールを調査する旨お伝えした。"","","","","","","FALSE"
"11874","2021/12/20","ファミリーマート","原材料品質保証システム","その他","【品証】年末年始 JFEシステムズ休業日に伴うお知らせ掲載","年末年始 JFEシステムズ休業日に伴うお知らせ掲載依頼を受領。","手順に従い対応実施。FM山岸様へ完了報告を行った。","","","","","12/20　お知らせ掲載　中嶌　0.5H　時間内　範囲内","FALSE"
"11875","2021/12/20","JFS","原材料品質保証システム","その他","【ご確認をお願い致します】メルクリウス：現状の登録状況(テーブルマーク株式会社様)",""下記ユーザーにつきまして現状の登録状況が有効であるか確認してほしい。00500375    テーブルマーク株式会社  0050037501  佐々木　彩00500375    テーブルマーク株式会社  0050037502  田井　崇久00500375    テーブルマーク株式会社  0050037503  越智　陽子00500375    テーブルマーク株式会社  0050037504  杉本　比奈"",""以下３名が有効であることをご連絡した。00500375    テーブルマーク株式会社  0050037502  田井　崇久00500375    テーブルマーク株式会社  0050037503  越智　陽子00500375    テーブルマーク株式会社  0050037504  杉本　比奈"","その他","","","","12/20 調査 浦野 0.2H 時間内 範囲内","FALSE"
"11876","2021/12/21","ノースイ","原材料品質保証システム","MerQurius Net連携","使用禁止文字のエラー","依頼連携取込時に、使用禁止文字のエラーが発生した。どうすればよいか。","Net側で添付した原料品質規格書・アドオンシートに半角%、半角ダブルコーテーション、TABが使用されていないかご確認頂くようお願いした。","仕様","","","","12/21 浦野 顧客対応 0.2H 時間内 範囲内","FALSE"
"11877","2021/12/22","ノースイ","原材料品質保証システム","調達品質情報(申請/フロー)","依頼連携取込時にエラー","依頼連携取込時に「使用禁止文字が使用されています」のエラーが出てしまう。","「原料品質規格書」「アドオンシート」にて、半角の「％」(パーセント)・半角の「"」(ダブルコーテーション)・タブ(Tab)のいずれかが使用されていないか確認頂くようお願いした。","","","","","12/22　顧客対応　中嶌　0.2H　時間内　範囲内","FALSE"
"11878","2021/12/22","ポオトデリカトオカツ 東大阪工場","原材料受発注システム","ログイン","ログインできない",""受発注システムへログインしようとしたところ、エラーとなってしまう。ユーザID：9995799"","ユーザ情報を確認したところ、12/21時点でアカウントの有効期間が切れていた為、ログインが出来ない状態であった。溝口様へお伝えしたところ、引き続きアカウントを使用したいとの要望があった為、FM様とご相談させていただく旨お伝えした。FM山岸様へ本件エスカレーション。FM様社内で一度ご確認いただけるとの事。その後、FM山岸様より該当ユーザは削除されている為、再度登録依頼を頂くようお願いしたとの共有頂いた。","","","","","12/22　顧客対応　中嶌　0.5H　時間内　範囲内","FALSE"
"11879","2021/12/22","ファミリーマート","中食表示システム","表示複数編集・作成","【規格書／中食表示】添加物置き換え設定依頼",""添加物置き換え設定依頼を受領。【理由】　表示明細の作成業務に必要なため ＜対象包材・原材料＞：１件１．「▲昭和コーンスターチ」（330207407）【置き換え稼働希望日】２０２１年１２月２４日（金）"","手順に従い対応実施。FM高村様へ完了報告を実施した。","","","","","12/23　添加物置き換え設定　中嶌　1.5H　時間内　範囲内","FALSE"
"11881","2021/12/23","JFS","原材料品質保証システム","その他","削除された原材料について","削除タブに移動された、削除原材料について、復元対応をして頂くことは可能なのか教えてほしい。","一度削除された原材料については、復元する事が出来ない旨お伝えした。","","","","","12/23　顧客対応　中嶌　0.5H　時間内　範囲内","FALSE"
"11884","2021/12/23","JFS","原材料受発注システム","発注エラー確認","【原受発注】本日の発注エラーについて(２１１０たまハム８０/860201151)",""下記、原材料につきまして窓が閉まった経緯の調査をお願いしたい。■原材料：２１１０たまハム８０(860201151)■メニュー：たまハムミックスサンド→継続メニュー■DM・シノブフーズ京滋工場 12/20で発注終了日が入っていた・山崎製パン札幌　開始日2021/09/20 終了日2999/12/31→山パン札幌様が本日10時、11時、12時と発注エラーに上がっていて通常発注が発注入力の状態であった。規格書を触ったことが原因かと思われる為、至急お調べして頂きたい。"",""調査実施。北海道、関西地区については、それぞれ他の版に紐づいており、変更履歴を確認したところ、昨日(12/22)付けで工場紐付が削除されていた事を確認。FM夏目様より、組合に確認頂き、再度紐付するか、原料違いであれば規格を追加したものを工場配信まで進めて頂くようご案内頂いた。"","","","","","12/23　調査　中嶌　1.5H　時間内　範囲内","FALSE"
"11886","2021/12/23","JFS","原材料品質保証システム","ログイン","【品証】ログインできない",###############################################################################################################################################################################################################################################################,"ユーザ登録情報を確認したところ、どちらのユーザも品証上でアカウントが存在していた。まだ初回ログインが実施されていない状況であった。一度、初期パスワードで、初回ログインをお試し頂くよう肥田様へお伝えした。","","","","","12/23　調査　中嶌　1.0H　時間外　範囲内","FALSE"
"11887","2021/12/23","内部問合せ","需要予測支援システム","その他","【需要予測支援】【需給管理】原材料予測未算出の件（351385405/△業務用八丁みそ１ＫＧ）",###############################################################################################################################################################################################################################################################,""対象商品・原材料の改廃明細の窓が閉まっていることが原因。JFS様に依頼し、窓開けを実施頂いた。12/27 追記窓開け後、原材料予測が連携していることを確認した。"","その他","","","","12/24 調査 3H 浦野 時間内 範囲内","FALSE"
"11889","2021/12/24","JFS","原材料受発注システム","伝票データ照会","伝票データ照会（伝票明細）の金額が０になっている",""メーカー：マリンアクセス　たなか様原材料：560584408/まぐろスライスＭＡ３発注日・納品日：2021/12/15発注・2021/12/16納品内容：発注データ照会（累積分）には金額が入っているが、伝票データ照会（伝票明細）では金額が０になってしまっている。出庫実績はあるので修正していただきたい。"",""12/16 10時前に、製造DMで納品数を0に変更している。そのことで、伝票データ照会(伝票明細)の金額が0になっている。ユーザでは修正できないため、JFS様で調整伝票を入力して頂くようお願いした。横山様より、製造DMに経緯確認後、調整伝票を入力頂けるとのこと。"","その他","","","","12/27 調査 浦野 1.5H 時間内 範囲内","FALSE"
"11890","2021/12/24","障害対応","原材料受発注システム","その他","【障害報告】【原材料受発注】FICS在庫インポートエラー障害のご報告",""【事象】5:30起動のFICS在庫インポート処理が異常終了した。"",###############################################################################################################################################################################################################################################################,"その他","","","","","FALSE"
"11891","2021/12/24","ファミリーマート","商品規格書システム","添加物重量一覧表","（至急）【商品規格書】添加物重量一覧情報欠落につきまして",""「牛ロインテールタレ２１冷」に関し、Ver00.07には出力されているが、Ver00.23では情報が欠落してる。システム起因なのか、ユーザの操作によるものなのか。"",""帳票出力時に原材料展開マスタを参照しており、12/17 に「502100039牛ロインテールタレ（親）」に親子紐付された事によって、子原材料が出力できない状況に見受けられる。引き続き調査を実施する旨お伝えした。※課題管理No.684の類似事象の為、追記対応。インシデント上はクローズ。"","その他","","","",""12/24 調査 浦野 4H 時間内 範囲内12/27 調査 浦野 4H 時間内 範囲内"","FALSE"
"11894","2021/12/27","スギヨ","原材料品質保証システム","調達品質情報(申請/フロー)","製造工場の削除ができない","製造工場が不要になったため、アドオンシートで工場を削除してシートチェックをしようとすると、エラーになってしまう。どのように対応したらよいか。",###############################################################################################################################################################################################################################################################,"","","","",""12/27　調査　中嶌　1.0H　時間内　範囲内12/27　顧客対応　中嶌　0.5H　時間内　範囲内"","FALSE"
"11895","2021/12/27","テーブルマーク","原材料品質保証システム","調達品質情報(申請/フロー)","原材料の削除について","JFS様から原材料の削除を依頼されたが、削除する操作方法を教えてほしい。","ユーザ様操作で、原材料を削除する事はできない。JFS様が仰っているのは「取消日」の入力と思われる為、念の為一度ご確認頂き、アドオンシートに取消日を入力⇒Neｔ側で差替えて頂くようご案内した。","","","","","","FALSE"
"11896","2021/12/27","ファミリーマート","原材料品質保証システム","調達品質情報(申請/フロー)","【品証】使用原料の食品添加物について",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"","","","",""12/27　顧客対応　中嶌　0.5H　時間内　範囲内12/28　顧客対応　中嶌　1.0H　時間内　範囲内1/4　調査　中嶌　1.0H　時間内　範囲内"","FALSE"
"11898","2021/12/27","内部問合せ","需要予測支援システム","その他","原材料予測未算出の件（350181107/焦がし粉末しょうゆＤＮ２）",###############################################################################################################################################################################################################################################################,""対象商品・原材料の窓が閉まっていることが原因。12/24 追記JFS様で既に窓開けを実施済み、12/26(日) 4時のファイルで連携予定。12/27 追記川島/春日部・小牧に該当する地区が出力されている事を、需要予測側で確認した。需給管理側でも復旧を確認できたとの事。"","その他","","","","12/27 調査 1.5H 時間内 範囲内","FALSE"
"11899","2021/12/27","内部問合せ","その他","その他","商品コードの再利用について",""（１）窓が閉まっている原材料が他の商品で再度使用される場合、窓は自動で開かないため、原材料予測が欠落してしまうので、開くようにしてほしい。（２）リニューアル新規は、デイリーメーカーも同じ悩みもっていて、レシピ変更がいつ修正されるのかわからず、後、ステータスも3週前水曜超えても「10開発」止まりで、「50工場配信」にならない。その為、商品CDの繰り返し使用をやめて別CDを採番して正規の工場配信スケジュールにして頂きたいが、仕様上難しいものなのか。"",""（１）現在の仕様ではJFS様で窓閉めした原材料は、自動では開かないが、2月の改修で、別商品で引当されている場合は、閉まっている発注終了日の翌日に自動で窓が開くようになる。そのため、欠落は発生しなくなる。"","その他","","","","1/4 調査 浦野 1H 時間内 範囲内","FALSE"
"11901","2021/12/27","ファミリーマート","商品規格書システム","ダウンロード","【規格書】生産管理システムダウンロード権限",""本社権限に対して規格書ダウンロード権限を付与したが、製品や物流バーコード情報はデータがなく、原材料はデータがダウンロードできた。それぞれどういった条件でデータが抽出されたのか教えてほしい。■権限所属　ファーストフーズ本社　（00006001）ロール 製造DM権限（RS_MANUF_DM）　　　 製造DM　生産管理システム利用（RS_MANUF_MANAGE）"",""所属組織を製造DM本社所属のユーザに権限を付与したとの事。本機能の概要として、製造DM本社所属のユーザは利用する事を想定していない。※生産管理システムCSV作成の仕様書　１．概要シートに記載有。下田様へ上記ご説明と併せて仕様書を送付。ご確認頂くようお願いした。また、製品や物流バーコード情報はデータがなく、原材料はデータがDLできた件については社内で別途確認するようお伝えした。1/13 追記規格書課題管理No.690にエスカレーション済。"","","","","",""12/27　調査　中嶌　1.5H　時間外　範囲内1/6　調査　中嶌　1.0H　時間内　範囲内"","FALSE"
"11904","2021/12/28","JFS","商品規格書システム","改廃","【規格書】毎日窓が閉まってしまう原材料について",""毎日窓が閉まってしまう原材料がある。調査をお願いしたい。■DM：みなと食品沖縄本社■原材料：豚モモ１．６ＭＭＨＬ(512300011)■規格書改廃状態発注開始日2021/09/13発注終了日2999/12/31毎日即時連携をしている状態。DM様からも毎日お電話がきている為、窓が閉まらないようにしたい。"",""FM夏目様より、JFS墨谷様へ下記の回答を実施頂いた。該当の原材料を使用している商品を調査したところ、いずれも取消がされていた。みなと食品で何にご利用されているかご確認頂き、該当の商品のマスタ登録、規格書の工場紐づけを沖縄FM様に見直し頂くようお願いした。その対応までは常時の窓開けでご対応をお願いした。"","","","","","","FALSE"
"11906","2021/12/28","フライスター","原材料品質保証システム","調達品質情報(申請/フロー)","帳票出力ができない","アドオンシートを出力すると、「エクセルアプリケーションの起動に失敗しました」というエラーになって出力ができない。","操作マニュアルに記載されている初期設定を実施頂くようお願いした。","仕様","","","","12/28 顧客対応 浦野 0.3H 時間内 範囲内","FALSE"
"11907","2021/12/28","ファミリーマート","商品規格書システム","添加物重量一覧表","（至急）【商品規格書】添加物重量一覧表示エラー",""商品管理No050003210500034905000350海鮮恵方巻早割、予約含む6規格全て上記商品規格書で添加物重量一覧を開くとシステム障害で作成が進められない。昨日添加物の置き換え設定が実施されたとの事。（置換え設定食材：571800131-01 Ｕ鮭トロ２１）"",###############################################################################################################################################################################################################################################################,"障害","","","",""12/28　調査　中嶌・浦野　3.0H　時間外　範囲内12/28　DBメンテ　中嶌・浦野　1.0H　時間外　範囲内"","FALSE"
"11908","2022/1/4","日本ハム","原材料品質保証システム","調達品質情報(申請/フロー)","アドオンシートの帳票出力ができない","アドオンシートの帳票出力ができない。以前使用していたパソコンから新しくはしたが、その影響か。","帳票出力にはActive X コントロールのインストールが必要となる。操作マニュアルを参考に、インストールを実施頂くようご案内した。","","","","","1/4　顧客対応　中嶌　0.1H　時間内　範囲内","FALSE"
"11909","2021/12/29","障害対応","商品規格書システム","その他","【規格書】夜間バッチ遅延監視報告",""商品取込み⑤が警戒域の5時30分を超過し、6時3分に完了した。表示バッチは7時22分に完了した。"",""昨日12/28は年末年始休みの前ということでユーザによる大量のデータ入力が発生したことが要因と考えられる。詳細原因については、調査してご報告予定。規格書課題管理No.670にエスカレーションにてクローズ。"","障害","","","","","FALSE"
"11910","2022/1/5","JFS","原材料受発注システム","伝票データ照会","【調査依頼　受発注 伝票データ照会(納品明細)】納品金額未反映の件",""【受発注システム　伝票データ照会(納品明細)】こちら伝票は承認済で計上が確認されているが、伝票データ照会(納品明細)にて納品金額が「０」となっている。これはなぜか。"","納品金額が０となっている伝票は伝票入力で作成された「調整＋」の伝票なので、納品は発生しない。そのため、納品金額は０で表示される。","仕様","","","","1/6 調査 浦野 2H 時間内 範囲内","FALSE"
"11911","2022/1/5","ファミリーマート","商品規格書システム","商品規格書(理由書・申請・承認・登録)","補填金が未承認で規格書の承認ができない","商品管理№0900036903　ジューシーハムサンド　（北海道版）について補填金未承認のアラートが出て規格書承認出来ない。",###############################################################################################################################################################################################################################################################,"その他","","","",""1/5 調査 浦野 3H 時間内 範囲内1/6 調査 浦野 2H 時間内 範囲内1/11 調査 浦野 2H 時間内 範囲内"","FALSE"
"11913","2022/1/6","うおいち","原材料品質保証システム","MerQurius Net連携","MerQuriusNet通信エラー","Net連携を実施すると通信エラーが発生し、システム管理者に連絡するようにとメッセージが表示される。","インシデントNo.11918の障害の影響。13：20頃に復旧。ユーザ様にて再度実施頂き、Net連携依頼で「完了しました」と表示され、問題ないことを確認した。","障害","","","","1/6 顧客対応 浦野 0.2H 時間内 範囲内","FALSE"
"11914","2022/1/6","ファミリーマート","原材料品質保証システム","MerQurius Net連携","至急確認）【品証】FM品管部長承認エラーについて",""品質管理部部長が承認ボタンを押下したところ、エラーが発生し、承認作業ができない状況となっていた。承認者は変更しておらず、ユーザは以前から承認作業を実施していた。再起動し再びログインしても、承認ができないとの事。ユーザID　　　　：1003725承認ステータス　：FM品管部長エラーメッセージ：「MerQuriusNet連携にて通信エラーが発生しました。」本件至急承認する必要がある原材料であり、急ぎご確認をお願いしたい。"","インシデントNo.11918の障害の影響。13：20頃に復旧。復旧後、FM石井様・青鹿様へ取り急ぎご報告した。","","","","","","FALSE"
"11915","2022/1/6","JFS","原材料品質保証システム","MerQurius Net連携","【品証】差戻しできない件について",""本日、品質保証システムにてAC共配品管未承認タブからMerQNet差戻をしようとすると添付の画面が表示され、差戻し画面が呼び出せない。弊社ネットワークの問題であるのか、MerQurius Net側で何かメンテナンス等実施されているのか、或いは品証側との連携など他原因があるのか状況わかるか。また、メーカーから同様の問合せを受領している。"","インシデントNo.11918の障害の影響。発生理由は、サンシャイン51FDC撤去作業に伴う不具合であり、1/6 13:32現在は問題がない状態になっている旨、FM青鹿様よりJFS後藤様へご説明頂いた。","","","","","","FALSE"
"11916","2022/1/6","Ｗｉｓｍｅｔｔａｃフーズ株式会社","原材料品質保証システム","MerQurius Net連携","MerQuriusNet通信エラー","Net連携を実施すると通信エラーが発生し、システム管理者に連絡するようにとメッセージが表示される。","インシデントNo.11918の障害の影響。13：20頃に復旧。ユーザ様にて再度実施頂き、Net連携依頼で「完了しました」と表示され、問題ないことを確認した。","","","","","1/6　顧客対応　中嶌　0.5H　時間内　範囲内","FALSE"
"11918","2022/1/6","障害対応","原材料品質保証システム","MerQurius Net連携","【障害報告】【品証】MerQriusNet接続障害",""【事象】1/6の10:30から13:10までの間、原材料品質保証システムの画面操作からMerQriusNetへ接続する処理が接続エラーにより実行できない状態となった。【影響】1/6の10:30から13:20までの間、原材料品質保証システムの画面操作からMerQriusNetへ接続する処理である、各種承認処理やバージョンアップ処理が、接続エラーにより実行できない状態となった。"",###############################################################################################################################################################################################################################################################,"障害","","","","","FALSE"
"11920","2022/1/7","テーブルマーク","原材料品質保証システム","調達品質情報(申請/フロー)","取消日を再度修正したい",""昨年末（2021/12/27取消）に取消日を入力してメーカー申請を行ったが、JFS様より、取消日超過のため承認ができない為、2022/1/15取消で再申請するよう指示をいただいた。取消日を再度修正するにはどうすればよいか、ここからの作業の進め方についてご教示頂きたい。右クリックでメーカー引戻しの選択肢があったが、引き戻して対応を進めていくのか。また、引き戻した後は、どのように進行すれば良いか教えてほしい。"",""右クリック⇒メーカー引戻　にて「メーカー未申請」の状態に戻すことが可能。引き戻した後は下記手順にて対応頂くようお願いした。●MerQnet差戻後、アドオンシートの取消日編集・差し替え、提出●原材料品質保証システムにて依頼連携取り込み、メーカー申請"","","","","","1/7　顧客対応　中嶌　0.2H　時間内　範囲内","FALSE"
"11921","2022/1/7","トーカン","商品規格書システム","原価計算書","原価計算書でシステムエラーが発生する","半製品を引当て登録を押下するとシステムエラーが発生する",""システムエラーのexceptionログを確認したところ、課題管理No.674と同事象である事を確認した。半製品：ＦＤキャベツ和え２２０３の引当を解除、一時保存を押下、再度ＦＤキャベツ和え２２０３の引当を実施するようにお願いした。1/11 追記原価計算書が登録済みとなっていることを確認した。"","障害","","","","1/7 調査 浦野 1H 時間内 範囲内","FALSE"
"11922","2022/1/7","ファミリーマート","中食表示システム","表示明細検索","発注地区が空になっている（商品管理No.0700027501）",""商品名：とろーり玉子のデミオムライスＤ３商品管理№：0700027501　Ver05→中食表示の方で、上記データを検索すると発注地区が空になってしまっており、製造DMが紐づいてない"",###############################################################################################################################################################################################################################################################,"その他","","","","1/7　調査　中嶌　4.0H　時間内　範囲内","FALSE"
"11923","2022/1/7","JFS","原材料品質保証システム","その他","メーカーコードの変更",""原材料コードはそのままで、メーカーコードを変更することは可能か。原材料コード：503100108 スパム（Ｒ）クラシックメーカーコード(移行元)：00500087 伊藤忠商事 生鮮加工品第一課メーカーコード(移行先)：00500392 伊藤忠商事 食品流通部リテール開発第三課FICS側で、保管料が重複しないようにできるか。"",""メーカーコードの変更は不可のため、新しい原材料コードを取得頂くようお願いした。FICSの保管料は、古い原材料を返品し在庫を無くし、同じ日に新しい原材料を入庫することで重複しないよう運用が可能とお伝えした。"","その他","","","","1/11 顧客対応 浦野 0.5H 時間内 範囲内","FALSE"
"11926","2022/1/7","ファミリーマート","商品規格書システム","製造DM紐付","【規格書】南九州の製造DMの紐付状況について",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"","","","",""1/14　調査　中嶌　2.0H　時間外　範囲内1/17　調査　中嶌　1.0H　時間内　範囲内"","FALSE"
"11928","2022/1/7","ファーストフーズ沼津工場","原材料受発注システム","ログイン","ログインできない","久しぶりに受発注システムへログインしようとしたら、ログインできない。パスワード再設定をしようとしてもメールが届かない。アカウントID：9984169","確認したところ、アカウントの有効期間が2021/12/21で終了していた。一度社内でユーザ登録申請状況を確認するとの事。","","","","","1/7　顧客対応　中嶌　0.2H　時間内　範囲内","FALSE"
"11929","2022/1/7","ファミリーマート","商品規格書システム","削除","【規格書】規格追加が削除できない件",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"","","","",""1/7　調査　中嶌　0.5H　時間外　範囲内1/13　調査　中嶌　1.0H　時間内範囲内"","FALSE"
"11931","2022/1/7","ファミリーマート","中食表示システム","表示複数編集・作成","【規格書／中食表示】添加物置き換え設定依頼",""添加物置き換え設定依頼を受領。【理由】　表示明細の作成業務に必要なため ＜対象包材・原材料＞：２件１．「▲昭和コーンスターチ」（330207407）２．「Ｕ鮭トロ２１」（571800131）【置き換え稼働希望日】２０２２年１月１４日（金）"","手順に従い対応実施。FM高村様へ完了報告を実施した。","","","","","1/13　置き換え設定登録　中嶌・浦野　1.5H　時間内　範囲内","FALSE"
"11932","2022/1/7","障害対応","原材料受発注システム","その他","【障害報告】【原受発注】RDS　CPU高負荷",""【事象】本日1/7　15:45-16:05、 RDS（データベース）のCPU使用率が危険域（95％）を超過した。"",###############################################################################################################################################################################################################################################################,"障害","","","","","FALSE"
"11933","2022/1/11","伊藤忠プラスチックス","原材料品質保証システム","ログイン","ログインできない","ログインすると「他のユーザが使用している」というメッセージが表示されログインできない。","×閉じしてしまったことが原因。90分お待ちいただくとログイン可能となる。","","","","","1/11　顧客対応　中嶌　0.1H　次官内　範囲内","FALSE"
"11934","2022/1/11","ファミリーマート","商品規格書システム","会社、ユーザーマスタ(登録、変更等)","【規格書】本社所属ユーザのロール変更について",""規格書システムで所属が本社なのに製造DM権限が付与されているユーザがいる。こちらは本来、本社権限が付与されるべきなので権限（ロール）の修正を行おうと考えているが、下記変更を行った場合、現行の権限ではできていたが、変更をすることでできなくなる操作等はあるのか教えてほしい。変更前）組織所属：本社　ロール：製造DM権限（RS_MANUF_DM）変更後）組織所属：本社　ロール：製造DM本社（RS_MANUF_HEAD_DM）"",""製造DM権限⇒製造DM本社権限に変更することによって、特にできなくなる操作等はない。今まで通りご利用いただける想定である旨、FM下田様へお伝えした。1/13 追記FM下田様より、本社所属で製造DM権限がついているユーザが規格書情報をダウンロードした場合、親子関係の原材料は親の原材料情報で出力されるのか追加の質問を受領。⇒上記の場合、親子関係を持つ原材料については、親の原材料情報で出力される旨、お伝えした。"","","","","",""1/11　調査　中嶌　0.5H　時間内　範囲内1/13　調査　中島　1.0H　時間内　範囲内"","FALSE"
"11935","2022/1/11","ファミリーマート","原材料受発注システム","クレーム管理","【原受発注】Excel報告書出力について",""原受発注のクレーム管理において問合せをいただいた為、原因調査をお願いしたい。No.1705のクレーム詳細報告を開き「次へ」のボタンを押下し、他のクレーム報告書を出力すると本事象が発生する。No.1709に限らずNo.1706でも本事象が発生する。"",###############################################################################################################################################################################################################################################################,"","","","","","FALSE"
"11936","2022/1/11","シノブフーズ","商品規格書システム","半製品マスタ検索","調理単価が自動で計算されない",""半製品コード：25682調理単価は自動で計算されるはずが値が何も入っていない。入力もできない状況で、値が入るようになるにはどうしたらよいか。"","規格書課題管理No.560（および課題管理No.351）に記載の通り、別の大分類を一旦別のものを選択し、再度正しい大分類「炒め」に戻すことで、調理単価が自動で入るとお伝えした。","仕様","","","","1/11 調査 浦野 0.3H 時間内 範囲内","FALSE"
"11937","2022/1/11","ファミリーマート","原材料受発注システム","緊急依頼データ照会","至急【原受発注】末伝票データ及び請求書データについて",""JFS様より、12月度の伝票データに計上されていないデータが存在しているとお問合せを頂いた。以下、ご確認をお願いしたい。・12月31日に入力された緊急追加は、当日21時に伝票確定となり、1月1日18時の月次処理に含まれるのではないのか。・12月31日21時以降にDM様が緊急追加を入力し、1月1日JFS様が承認した場合、承認した時点で伝票確定となり、納品日が12月31日の為、1日18時の月次処理に含まるのではないのか。"",###############################################################################################################################################################################################################################################################,"","","","",""1/11　調査　中嶌　3.0H　時間内　範囲内1/12　調査　岩田　2.0H　時間内　範囲内"","FALSE"
"11938","2022/1/12","米久","原材料品質保証システム","調達品質情報(申請/フロー)","依頼連携取込時にエラー","依頼連携取込で使用禁止文字が含まれているとエラーが表示されるが、どうしたらよいか。","原料規格書・アドオンシートの中を確認頂き、半角%、半角ダブルコーテーション、TABなどが含まれていないかご確認いただくようお願いした。","","","","","1/12　顧客対応　中嶌　0.1H　時間内　範囲内","FALSE"
"11939","2022/1/12","JFS","原材料受発注システム","発注エラー確認","発注エラーデータの作成時間について","発注エラーデータの作成処理が行われるのは何時か再確認したい。","6:00、10:00、11:30、12:30、16:00の時間で、発注エラーデータ作成の処理が行われている旨、墨谷様へお伝えした。","","","","","1/12　顧客対応　中嶌　0.2H　時間内　範囲内","FALSE"
"11940","2022/1/12","シノブフーズ　京滋工場","原材料受発注システム","原材料マスタ一覧照会","原材料マスタ検索でデータが表示されない","原材料マスタ一覧照会画面から、対象データ表示を押したが何も表示されず、タイムアウトとなってしまう。","条件をお伺いしたところ、日付指定せず全検索を行っていたとの事で、発注開始日・終了日を指定頂き、再度検索したところ問題なく表示された事を確認した。","","","","","1/12　顧客対応　中嶌　0.5H　時間内　範囲内","FALSE"
"11941","2022/1/12","ジョイアスフーズ","商品規格書システム","ダウンロード","規格書ダウンロード時、システムエラー","規格書をダウンロードするとき、システムエラーが発生する。規格書セット選択のみであれば問題ない。その他セット選択のどこかに問題があるように見受けられる。","製品補助マニュアルの「【NFF】トッピング指示書」のファイル名に環境依存文字が含まれており、それが原因でダウンロード時エラーが発生していた。NFF様にてファイル名を修正後、問題なくダウンロードできるようになった事を確認。フシマ様へお伝えした。","","","","","1/12　顧客対応　中嶌　1.0H　時間内　範囲内","FALSE"
"11942","2022/1/12","ファミリーマート","原材料品質保証システム","その他","【作業依頼】【品証】 JFEシステムズ 通信機器メンテナンスに伴うお知らせ掲載","JFEシステムズ 通信機器メンテナンスに伴うお知らせ掲載を受領。","手順に従いお知らせ掲載実施。完了後、FM山岸様へご報告した。","","","","","1/12　お知らせ掲載　0.5H　時間内　範囲内","FALSE"
